amount,text_id,text
1,71882262,"Интересует жильё-эконом, кондиционер только чтобы был, цена с человека? Рядом с морем, +- 5-10 минут ходьбы, с 10 по 20 июля примерно! Будет только женщина. Спасибо)"
2,296021803,"Здравствуйте, ищем жилье с 22.07 по 31.07 2-х местный"
7,162173888,"Здраствуйте...Ищем жилье в Лазаревском , с 2 по 13 августа (примерно)..3 взрослых и 4 детей (возраст от 14 до 6 лет) недорого"
5,228328421,Здравствуйте ищем жильё 3 взрослых 2 детей в Лазаревском с 13.06 по 20.06
4,9890691,"Здравствуйте,  ищем жилье с женой в Лазеревском, 2 детей 11 и 4лет, на 29.06.19, под ключ"
3,399249920,Здравствуйте!Ищем жильё в Лазаревское.2 взрослых и 1 ребёнок 10 лет.В период с 25.07. По 06.08.
3,316530114,Здравствуйте! Ищем жилье с 17.06 на 21 день( 2 взрослых и 1 ребёнок 12 лет). Район Олимпийского парка- Имеретинская бухта)не далеко от моря.Со всеми удобствами.
7,514036726,"Добрый день. Ищем жильё на июль месяц в Лазаревском. 5взрослых и 2 детей 5 и 12 лет. Интересует с бассейн, детская площадка,кухня для самостоятельного приготовления.в л.с. 10.07 - 20.07"
5,364570867,"Ищем жильё в Лазаревском, около моря, 2 взрослых и трое детей ( 10, 12, 4 года), двухкомнатный номер, недорого, с 11.08.2019"
5,34710969,"Ищем жильё  . 2 взрослых, трое детей( 2 г, 5 лет , 8 лет).не далеко от моря , анимация ( было бы отлично), желательно бассейн, детская площадка.  Период с 10 августа по 22-23 августа. Не больше 3500 т за сутки"
4,18711532,"Ищем жилье, 4 человек, 3 взрослых и 1 ребенок 7 лет, с удобствами, двухкомнатный, либо два, двух местных, с удобствами и басейном, с 16 июля до 27 июля."
12,129035061,"Добрый день! Ищем жилье на 12 человек, 7 взрослых и 5 детей(3 г, 6 л,9 л), с 15.07.19г. по 25.07.19г. Возможно ли найти дом под ключ или есть какие выгодные предложения?"
9,233661411,"Добрый день! Ищем жилье на 9 человек, 4 взрослых и 5 детей(4 г, 6 л,6 л, 11 л, 13л.), с 10.07.19г. по 28.07.19г. Желательно дом под ключ. Поближе к морю"
1,77792435,Здравствуйте. Ищем жильё в период с 26 мая по 14 июня. Рядом с санаторием Бирюза. На одного человека и две маленькие собачки.
2,102311098,"Добрый день! Ищем жилье в Лазаревском с 02.07-10.07. Двухместный номер с удобствами. Вблизи моря, не окраина. До 2т.р./сут."
2,123993850,"Ищем не дорогое жильё на начало июля , не далеко от моря ..,на 2х"
3,54495881,"ищем жилье с 8-20 августа с бассейном 3мест номер ,до моря не дольше 10мин, не в гору"
